상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,상품 요약설명,상품 간략설명,검색어설정,소비자가,공급가,상품가,판매가,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,마진율(%),가격대,경쟁가격_평균,최적가격_제안,가격전략
P00000MW,N,N,95|99|110,N|N|N,N|N|N,[씨씨더블유]양념 소대창 200g,양념 소대창 200g - 만원요리 인기상품,양념 소대창 200g - 최씨남매 추천 맛보장,"만원요리,최씨남매,양념 소대창,씨씨더블유,소대창 양념,소대창 맛집,소대창 요리,소대창 레시피,소대창 가격,소대창 구매,소대창 온라인,소대창 배송,소대창 주문,소대창 인기 상품,소대창 추천 상품,소대창 구매 사이트,소대창 맛집 추천,소대창 요리법,소대창 요리 레시피,소대창 맛있는 곳,소대,소대창,곱창,양념소대창,소대창볶음,200g,냉동소대창,간편식,야식,안주,술안주,홈파티,배달음식,캠핑요리,볶음요리,대창,소곱창,양념,냉동식품,씨씨더블유소대창",0,4500,5455,6000,양념 소대창 200g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 양념 소대창 200g. 양념 소대창 200g - 최씨남매 추. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,양념 소대창,씨씨더블유,소대창 양념,소대창 맛집,소대창 요리,소대창 레시피,소대창 가격,소대창 구매,소대창 온라인,소대창 배송,소대창 주문,소대창 인기 상품,소대창 추천 상품,소대창 구매 사이트,소대창 맛집 추천,소대창 요리법,소대창 요리 레시피,소대창 맛있는 곳,소대,소대창,곱창,양념소대창,소대창볶음,200g,냉동소대창,간편식,야식,안주",만원요리 최씨남매 양념 소대창 200g 상품 이미지,9.08,중저가형,5880,"{'공격적_가격': 6818, '경쟁적_가격': 6818, '안전적_가격': 6818, '프리미엄_가격': 6818}",중저가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MV,N,N,53|95|99|56|110|58,N|N|N|N|N|N,N|N|N|N|N|N,[씨씨더블유]명품 양념LA꽃갈비 500g,명품 양념LA꽃갈비 500g - 만원요리 인기상품,명품 양념LA꽃갈비 500g - 최씨남매 추천 맛보장,"만원요리,최씨남매,힘내자,[씨씨더블유],명품,양념,LA,꽃갈비,500g,한식,고기요리,한식요리,바베큐,미국,미국식,명품음식,고급음식,육류,프리미엄,특급,특별한요리,특별한음식,인기상품,LA갈비,씨씨더블유,양념갈비,명품갈비,냉동갈비,갈비찜,갈비구이,소갈비,돼지갈비,한우갈비,수입갈비,간편식,집들이음식,선물세트,추석선물,설날선물,갈비양념",0,10000,11818,13000,명품 양념LA꽃갈비 500g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 명품 양념LA꽃갈비 500g. 명품 양념LA꽃갈비 500g - 최씨. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,힘내자,[씨씨더블유],명품,양념,LA,꽃갈비,500g,한식,고기요리,한식요리,바베큐,미국,미국식,명품음식,고급음식,육류,프리미엄,특급,특별한요리,특별한음식,인기상품,LA갈비,씨씨더블유,양념갈비,명품갈비,냉동갈비,갈비찜,갈비구이",만원요리 최씨남매 명품 양념LA꽃갈비 500g 상품 이미지,9.09,중가형,12740,"{'공격적_가격': 14772, '경쟁적_가격': 14772, '안전적_가격': 14772, '프리미엄_가격': 14772}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MU,N,N,53|95|99|56|110,N|N|N|N|N,N|N|N|N|N,[씨씨더블유]오돌뼈 소금구이 200g,오돌뼈 소금구이 200g - 술안주 베스트,오돌뼈 소금구이 200g - 인기 술안주 간편조리,"만원요리,최씨남매,술한잔,모임각,술안주,오돌뼈 소금구이,씨씨더블유 오돌뼈,소금구이 200g,오돌뼈 요리,한국식 바비큐,한국 음식,씨씨더블유 상품,한국식 구이,한국 음식 재료,씨씨더블유 쇼핑,오돌뼈 조리법,소금구이 레시피,씨씨더블유 식품,오돌뼈 맛집,소금구이 가격,오돌뼈,씨씨더블유,200g,오돌뼈볶음,매콤한 오돌뼈,간편식,야식,안주,냉동식품,냉동오돌뼈,오돌뼈구이,오돌뼈 레시피,직화 오돌뼈,핵불닭 오돌뼈,가성비 오돌뼈


**(추가)**  실제 검색 데이터가 없으므로 위 키워드는 예상되는 키워드입니다. 실제 인기 검색 키워드는  네이버",0,3300,4091,4500,오돌뼈 소금구이 200g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 오돌뼈 소금구이 200g. 오돌뼈 소금구이 200g - 인기 술. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,술한잔,모임각,술안주,오돌뼈 소금구이,씨씨더블유 오돌뼈,소금구이 200g,오돌뼈 요리,한국식 바비큐,한국 음식,씨씨더블유 상품,한국식 구이,한국 음식 재료,씨씨더블유 쇼핑,오돌뼈 조리법,소금구이 레시피,씨씨더블유 식품,오돌뼈 맛집,소금구이 가격,오돌뼈,씨씨더블유,200g,오돌뼈볶음,매콤한 오돌뼈,간편식,야식,안주,냉동식품,냉동오돌뼈",만원요리 최씨남매 오돌뼈 소금구이 200g 상품 이미지,9.09,중저가형,4410,"{'공격적_가격': 5113, '경쟁적_가격': 5113, '안전적_가격': 5113, '프리미엄_가격': 5113}",중저가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MT,N,N,53|95|99|56|110,N|N|N|N|N,N|N|N|N|N,[씨씨더블유]한돈 수제 양념갈비 1kg,한돈 수제 양념갈비 1kg - 만원요리 인기상품,한돈 수제 양념갈비 1kg - 최씨남매 추천 맛보장,"만원요리,최씨남매,힘내자,한돈,수제,양념갈비,1kg,씨씨더블유,한돈 양념갈비,수제 양념갈비,한돈 수제 갈비,한돈 양념 돼지갈비,수제 돼지갈비,한돈 수제 돼지갈비,씨씨더블유 양념갈비,씨씨더블유 돼지갈비,한돈 씨씨더블유 갈비,수제 양념 돼지갈비,씨씨더블유 한돈 갈비,수제 씨씨더블,한돈 수제 양념갈비,돼지갈비 1kg,수제 양념갈비 1kg,돼지갈비 간편식,냉동 돼지갈비,양념갈비 택배,한돈 갈비,국내산 돼지갈비,갈비 구이,간편한 갈비,캠핑 요리,집들이 음식,손님 접대,돼지갈비 레시피,1kg 돼지갈비,양념갈비 맛집,갈비 선물세트,추석 선물",0,11000,12727,14000,한돈 수제 양념갈비 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 한돈 수제 양념갈비 1kg. 한돈 수제 양념갈비 1kg - 최씨남. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,힘내자,한돈,수제,양념갈비,1kg,씨씨더블유,한돈 양념갈비,수제 양념갈비,한돈 수제 갈비,한돈 양념 돼지갈비,수제 돼지갈비,한돈 수제 돼지갈비,씨씨더블유 양념갈비,씨씨더블유 돼지갈비,한돈 씨씨더블유 갈비,수제 양념 돼지갈비,씨씨더블유 한돈 갈비,수제 씨씨더블,한돈 수제 양념갈비,돼지갈비 1kg,수제 양념갈비 1kg,돼지갈비 간편식,냉동 돼지갈비,양념갈비 택배,한돈 갈비,국내산 돼지갈비,갈비 구이,간편한 갈비",만원요리 최씨남매 한돈 수제 양념갈비 1kg 상품 이미지,9.09,중가형,13720,"{'공격적_가격': 15908, '경쟁적_가격': 15908, '안전적_가격': 15908, '프리미엄_가격': 15908}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MS,N,N,53|95|54|103|56,N|N|N|N|N,N|N|N|N|N,"[비에스]미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg","미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg - 든든한 한끼","미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg - 집밥 스타일 국물요리","만원요리,최씨남매,국물땡김,집밥각,힘내자,비에스,미국산,소갈비살,200g,3팩,600g,5팩,1kg,소고기,스테이크,미국,수입,고기,육류,쇠고기,프리미엄,한우,BBQ,그릴,요리,미국산 소갈비살,비에스 소갈비살,소갈비살 600g,소갈비살 1kg,소갈비살 냉동,미국산 소갈비,수입 소갈비살,소갈비살 구이,소갈비살 가격,소갈비살 레시피,소갈비살 볶음,소갈비살 택배,냉동 소갈비살,고기 택배,구이용 소갈비살",0,17100,19091,21000,"미국산 소갈비살 200g x 3팩 600g,  200g - 만원요리 최씨남매 추천 프리미엄 상품",만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg. 미국산 소갈비살 200g x 3팩 6. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,국물땡김,집밥각,힘내자,비에스,미국산,소갈비살,200g,3팩,600g,5팩,1kg,소고기,스테이크,미국,수입,고기,육류,쇠고기,프리미엄,한우,BBQ,그릴,요리,미국산 소갈비살,비에스 소갈비살,소갈비살 600g,소갈비살 1kg,소갈비살 냉동","만원요리 최씨남매 미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg 상품 이미지",9.09,중고가형,20580,"{'공격적_가격': 23863, '경쟁적_가격': 23863, '안전적_가격': 23863, '프리미엄_가격': 23863}",중고가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MI,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]마른오징어 메메 오징어채 200g,마른오징어 메메 오징어채 200g - 만원요리 인기상품,마른오징어 메메 오징어채 200g - 최씨남매 추천 맛보장,"만원요리,최씨남매,해물,인생,마른오징어,메메,오징어채,200g,오징어,매운오징어,건오징어,오징어맛,오징어요리,오징어간식,오징어포,오징어맛집,오징어반찬,오징어요리법,오징어조림,오징어튀김,오징어회,오징어꼬치,오징어스낵,메메오징어채,인생마른오징어,간식,술안주,맥주안주,야식,씹는맛,매콤한,쫀득한,저렴한,대용량,볶음오징어,오징어가루,오징어다리,국산마른오징어,오징어채볶음",0,6400,7727,8500,마른오징어 메메 오징어채 200g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 마른오징어 메메 오징어채 200g. 마른오징어 메메 오징어채 200g -. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,해물,인생,마른오징어,메메,오징어채,200g,오징어,매운오징어,건오징어,오징어맛,오징어요리,오징어간식,오징어포,오징어맛집,오징어반찬,오징어요리법,오징어조림,오징어튀김,오징어회,오징어꼬치,오징어스낵,메메오징어채,인생마른오징어,간식,술안주,맥주안주,야식,씹는맛",만원요리 최씨남매 마른오징어 메메 오징어채 200g 상품 이미지,9.09,중가형,8330,"{'공격적_가격': 9658, '경쟁적_가격': 9658, '안전적_가격': 9658, '프리미엄_가격': 9658}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MH,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]국내가공 오징어실채 180g 1kg,국내가공 오징어실채 180g 1kg - 든든한 한끼,국내가공 오징어실채 180g 1kg - 집밥 스타일 국물요리,"만원요리,최씨남매,국물땡김,집밥각,해물,인생,국내가공,오징어실채,180g,1kg,국내가공 오징어실채,오징어실채 180g,오징어실채 1kg,오징어실채 구매,오징어실채 온라인쇼핑,오징어 가공품,해산물 가공품,오징어 요리 재료,오징어 신선식품,오징어 실채 상품,오징어 실채 판매,오징어 실채 구입,오징어 실채 가격,오,국내산오징어,오징어채,인생오징어채,오징어실채1kg,1kg오징어채,가공오징어,국내산오징어채,저렴한오징어채,볶음용오징어채,안주용오징어채,간식용오징어채,오징어채180g,180g오징어채,대용량오징어채,실채,오징어",0,7050,8182,9000,국내가공 오징어실채 180g 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 국내가공 오징어실채 180g 1kg. 국내가공 오징어실채 180g 1kg . 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,국물땡김,집밥각,해물,인생,국내가공,오징어실채,180g,1kg,국내가공 오징어실채,오징어실채 180g,오징어실채 1kg,오징어실채 구매,오징어실채 온라인쇼핑,오징어 가공품,해산물 가공품,오징어 요리 재료,오징어 신선식품,오징어 실채 상품,오징어 실채 판매,오징어 실채 구입,오징어 실채 가격,오,국내산오징어,오징어채,인생오징어채,오징어실채1kg,1kg오징어채,가공오징어",만원요리 최씨남매 국내가공 오징어실채 180g 1kg 상품 이미지,9.09,중가형,8820,"{'공격적_가격': 10227, '경쟁적_가격': 10227, '안전적_가격': 10227, '프리미엄_가격': 10227}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MG,Y,Y,53|96|97|99|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]참오징어구이채 150g 1kg,참오징어구이채 150g 1kg - 만원요리 인기상품,참오징어구이채 150g 1kg - 최씨남매 추천 맛보장,"만원요리,최씨남매,해물,인생,참오징어구이채,150g,1kg,오징어,구이채,냉동,한식,맛있는,신선한,요리,가정식,해산물,간편식,조리,매콤한,손질된,자취생,식재료,참오징어구이,오징어구이,인생참오징어구이,참오징어,오징어채,술안주,간식,안주,야식,맥주안주,소주안주,구이,건오징어,볶음,이커머스",0,6095,7273,8000,참오징어구이채 150g 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 참오징어구이채 150g 1kg. 참오징어구이채 150g 1kg - 최. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,해물,인생,참오징어구이채,150g,1kg,오징어,구이채,냉동,한식,맛있는,신선한,요리,가정식,해산물,간편식,조리,매콤한,손질된,자취생,식재료,참오징어구이,오징어구이,인생참오징어구이,참오징어,오징어채,술안주,간식,안주",만원요리 최씨남매 참오징어구이채 150g 1kg 상품 이미지,9.09,중가형,7840,"{'공격적_가격': 9091, '경쟁적_가격': 9091, '안전적_가격': 9091, '프리미엄_가격': 9091}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000MF,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]불갈비맛 오징어 150g 1kg,불갈비맛 오징어 150g 1kg - 만원요리 인기상품,불갈비맛 오징어 150g 1kg - 최씨남매 추천 맛보장,"만원요리,최씨남매,해물,힘내자,인생 불갈비맛 오징어,150g 오징어,1kg 오징어,불갈비맛 오징어 150g,불갈비맛 오징어 1kg,불갈비 오징어,불갈비 오징어 150g,불갈비 오징어 1kg,인생 오징어,오징어 맛,불갈비 오징어 맛,오징어 150g,오징어 1kg,불갈비,오징어 상품,불갈비맛 상품,인생 불갈비,오징어 맛집,오징어 구매,오징어 요리,불갈비맛 오징어,오징어 간식,간편 간식,매콤한 오징어,술안주,야식,오징어 볶음,불맛 오징어,대용량 오징어,맥주 안주,오징어 과자,매운 오징어,간편하게 먹는 오징어,오징어  추천,가성비 오징어,저렴한 오징어",0,6990,8636,9500,불갈비맛 오징어 150g 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 불갈비맛 오징어 150g 1kg. 불갈비맛 오징어 150g 1kg - . 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,해물,힘내자,인생 불갈비맛 오징어,150g 오징어,1kg 오징어,불갈비맛 오징어 150g,불갈비맛 오징어 1kg,불갈비 오징어,불갈비 오징어 150g,불갈비 오징어 1kg,인생 오징어,오징어 맛,불갈비 오징어 맛,오징어 150g,오징어 1kg,불갈비,오징어 상품,불갈비맛 상품,인생 불갈비,오징어 맛집,오징어 구매,오징어 요리,불갈비맛 오징어,오징어 간식,간편 간식,매콤한 오징어,술안주,야식",만원요리 최씨남매 불갈비맛 오징어 150g 1kg 상품 이미지,9.09,중가형,9310,"{'공격적_가격': 10795, '경쟁적_가격': 10795, '안전적_가격': 10795, '프리미엄_가격': 10795}",중가형 상품 - 마진 개선 필요 (현재 9.1%)
P00000ME,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]빠삭어포 50g,빠삭어포 50g - 만원요리 인기상품,빠삭어포 50g - 최씨남매 추천 맛보장,"만원요리,최씨남매,빠삭어포,어포,간식,건어물,맛있는,국내산,소금구이,간편간식,가정간식,가볍게,고단백,다이어트,다이어터,국내제조,노브랜드,푸드스타일,영양가,맛있게,간식류,포장간식,인생어포,멸치볶음,술안주,맥주안주,50g,어포과자,야채믹스,매콤어포,고추장어포,달콤어포,생맥주안주,소주안주,간편안주,나혼자산다,홈술,집술,안주추천",0,1400,2273,2500,빠삭어포 50g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 빠삭어포 50g. 빠삭어포 50g - 최씨남매 추천 맛. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","만원요리,최씨남매,빠삭어포,어포,간식,건어물,맛있는,국내산,소금구이,간편간식,가정간식,가볍게,고단백,다이어트,다이어터,국내제조,노브랜드,푸드스타일,영양가,맛있게,간식류,포장간식,인생어포,멸치볶음,술안주,맥주안주,50g,어포과자,야채믹스,매콤어포",만원요리 최씨남매 빠삭어포 50g 상품 이미지,9.08,저가형,2450,"{'공격적_가격': 2841, '경쟁적_가격': 2841, '안전적_가격': 2841, '프리미엄_가격': 2841}",저가형 상품 - 마진 개선 필요 (현재 9.1%)
